id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2023-1321013;2023-01-03;1;Vente;1825000.0;89.0;;RUE SAINT-DENIS;8525;75001.0;75101;Paris 1er Arrondissement;75;;;75101000AP0050;;;1;95.21;26;;27.0;;28.0;;29.0;;7;4.0;Local industriel. commercial ou assimilé;165.0;0.0;;;;;;2.349112;48.862083
2023-1321014;2023-01-05;1;Vente;567000.0;51.0;;RUE DE L ECHIQUIER;3084;75010.0;75110;Paris 10e Arrondissement;75;;;75110000AV0075;;;7;;8;;;;;;;;2;4.0;Local industriel. commercial ou assimilé;52.0;0.0;;;;;;2.348283;48.871818
2023-1321015;2023-01-04;1;Vente;140000.0;178.0;;RUE DE COURCELLES;2387;75017.0;75117;Paris 17e Arrondissement;75;;;75117000BG0053;;;57;18.75;58;;;;;;;;2;2.0;Appartement;18.0;1.0;;;;;;2.298612;48.884255
2023-1321016;2023-01-05;1;Vente;400000.0;12.0;;RUE TURGOT;9508;75009.0;75109;Paris 9e Arrondissement;75;;;75109000BD0036;;;831;43.8;;;;;;;;;1;2.0;Appartement;43.0;1.0;;;;;;2.345859;48.880564
2023-1321017;2023-01-04;1;Vente;141343.12;63.0;B;RUE DAMREMONT;2534;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AK0014;;;34;11.4;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.334615;48.891525
2023-1321018;2023-01-03;1;Vente;295000.0;18.0;;RUE EMILE LEVEL;3246;75017.0;75117;Paris 17e Arrondissement;75;;;75117000DG0040;;;14;;15;;;;;;;;2;2.0;Appartement;28.0;2.0;;;;;;2.318419;48.893075
2023-1321019;2023-01-03;1;Vente;300400.0;75.0;;BD BARBES;0662;75018.0;75118;Paris 18e Arrondissement;75;;;75118000BV0098;;;107;36.11;120;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.349162;48.891187
2023-1321019;2023-01-03;1;Vente;300400.0;75.0;;BD BARBES;0662;75018.0;75118;Paris 18e Arrondissement;75;;;75118000BV0098;;;107;36.11;120;;;;;;;;2;2.0;Appartement;36.0;2.0;;;;;;2.349162;48.891187
2023-1321020;2023-01-02;1;Vente;17300.0;121.0;;RUE MANIN;5976;75019.0;75119;Paris 19e Arrondissement;75;;;75119000CW0014;;;88;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.389761;48.88403
2023-1321021;2023-01-03;1;Vente;1700.0;214.0;;RUE DU FBG ST MARTIN;3522;75010.0;75110;Paris 10e Arrondissement;75;;;75110000BW0056;;;40;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.364393;48.87964
2023-1321021;2023-01-03;1;Vente;1700.0;214.0;;RUE DU FBG ST MARTIN;3522;75010.0;75110;Paris 10e Arrondissement;75;;;75110000BW0056;;;40;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.364393;48.87964
2023-1321021;2023-01-03;1;Vente;1700.0;214.0;;RUE DU FBG ST MARTIN;3522;75010.0;75110;Paris 10e Arrondissement;75;;;75110000BW0056;;;40;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.364393;48.87964
2023-1321022;2023-01-04;1;Vente;213000.0;8.0;;RUE BOUCRY;1139;75018.0;75118;Paris 18e Arrondissement;75;;;75118000CW0057;;;1631;;438;;;;;;;;2;2.0;Appartement;27.0;1.0;;;;;;2.362369;48.894577
2023-1321022;2023-01-04;1;Vente;213000.0;8.0;;RUE BOUCRY;1139;75018.0;75118;Paris 18e Arrondissement;75;;;75118000CW0057;;;1032;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.362369;48.894577
2023-1321022;2023-01-04;1;Vente;213000.0;8.0;;RUE BOUCRY;1139;75018.0;75118;Paris 18e Arrondissement;75;;;75118000CW0057;;;1631;;438;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.362369;48.894577
2023-1321023;2023-01-04;1;Vente;600000.0;72.0;;RUE PIXERECOURT;7504;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AT0007;;;2061;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.396493;48.87457
2023-1321023;2023-01-04;1;Vente;600000.0;82.0;;RUE PIXERECOURT;7504;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AT0007;;;2179;;2198;85.81;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.396493;48.87457
2023-1321023;2023-01-04;1;Vente;600000.0;82.0;;RUE PIXERECOURT;7504;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AT0007;;;2179;;2198;85.81;;;;;;;2;2.0;Appartement;85.0;4.0;;;;;;2.396493;48.87457
2023-1321024;2023-01-06;1;Vente;360000.0;128.0;;RUE LEGENDRE;5473;75017.0;75117;Paris 17e Arrondissement;75;;;75117000DK0100;;;70;35.02;;;;;;;;;1;2.0;Appartement;36.0;1.0;;;;;;2.322435;48.888709
2023-1321025;2023-01-06;1;Vente;351400.0;21.0;;RUE DES CLOYS;2157;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AW0034;;;302;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.339433;48.89248
2023-1321025;2023-01-06;1;Vente;351400.0;21.0;;RUE DES CLOYS;2157;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AW0034;;;23;31.08;39;;41.0;;;;;;3;2.0;Appartement;30.0;2.0;;;;;;2.339433;48.89248
2023-1321026;2023-01-05;1;Vente;220000.0;24.0;;RUE BOINOD;1061;75018.0;75118;Paris 18e Arrondissement;75;;;75118000BW0071;;;1;18.98;15;;;;;;;;2;4.0;Local industriel. commercial ou assimilé;30.0;0.0;;;;;;2.350789;48.893014
2023-1321027;2023-01-04;1;Vente;158000.0;24.0;;RUE BOINOD;1061;75018.0;75118;Paris 18e Arrondissement;75;;;75118000BW0071;;;8;17.49;;;;;;;;;1;2.0;Appartement;18.0;1.0;;;;;;2.350789;48.893014
2023-1321028;2023-01-04;1;Vente;396800.0;90.0;;AV DE SAINT OUEN;8718;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AH0001;;;53;35.01;71;;;;;;;;2;2.0;Appartement;33.0;3.0;;;;;;2.32794;48.893404
2023-1321028;2023-01-04;1;Vente;396800.0;90.0;;AV DE SAINT OUEN;8718;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AH0001;;;53;35.01;71;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.32794;48.893404
2023-1321029;2023-01-06;1;Vente;1240000.0;15.0;;RUE DE SAINT PETERSBOURG;8724;75008.0;75108;Paris 8e Arrondissement;75;;;75108000CD0017;;;7;100.54;;;;;;;;;1;4.0;Local industriel. commercial ou assimilé;116.0;0.0;;;;;;2.324875;48.881216
2023-1321030;2023-01-06;1;Vente;311900.0;4.0;;RUE DE BERRI;0904;75008.0;75108;Paris 8e Arrondissement;75;;;75108000BG0003;;;29;30.66;;;;;;;;;1;2.0;Appartement;30.0;1.0;;;;;;2.303785;48.871829
2023-1321030;2023-01-06;1;Vente;311900.0;4.0;;RUE DE BERRI;0904;75008.0;75108;Paris 8e Arrondissement;75;;;75108000BG0003;;;29;30.66;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.303785;48.871829
2023-1321031;2023-01-06;1;Vente;14000.0;79.0;;RUE ORFILA;6924;75020.0;75120;Paris 20e Arrondissement;75;;;75120000CD0042;;;176;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.399472;48.868193
2023-1321032;2023-01-04;1;Vente;260000.0;11.0;;RUE DE LA CR DES NOUES;2391;75020.0;75120;Paris 20e Arrondissement;75;;;75120000CI0056;;;176;28.35;;;;;;;;;1;2.0;Appartement;29.0;1.0;;;;;;2.402664;48.863589
2023-1321033;2023-01-04;1;Vente;284710.0;14.0;;RUE TROYON;9479;75017.0;75117;Paris 17e Arrondissement;75;;;75117000AK0071;;;13;20.58;;;;;;;;;1;2.0;Appartement;20.0;1.0;;;;;;2.295496;48.876173
2023-1321034;2023-01-09;1;Vente;338000.0;10.0;;VLA STENDHAL;9086;75020.0;75120;Paris 20e Arrondissement;75;;;75120000CL0053;;;26;35.8;53;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.402175;48.862232
2023-1321034;2023-01-09;1;Vente;338000.0;10.0;;VLA STENDHAL;9086;75020.0;75120;Paris 20e Arrondissement;75;;;75120000CL0053;;;26;35.8;53;;;;;;;;2;2.0;Appartement;34.0;2.0;;;;;;2.402175;48.862232
2023-1321035;2023-01-05;1;Vente;600000.0;332.0;;RUE DES PYRENEES;7904;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AK0011;;;14;54.07;;;;;;;;;1;2.0;Appartement;60.0;3.0;;;;;;2.390441;48.87336
2023-1321035;2023-01-05;1;Vente;600000.0;332.0;;RUE DES PYRENEES;7904;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AK0011;;;14;54.07;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.390441;48.87336
2023-1321036;2023-01-03;1;Vente;730000.0;192.0;;RUE CHAMPIONNET;1723;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AH0038;;;42;78.2;427;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.331722;48.894398
2023-1321036;2023-01-03;1;Vente;730000.0;192.0;;RUE CHAMPIONNET;1723;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AH0038;;;42;78.2;427;;;;;;;;2;2.0;Appartement;79.0;4.0;;;;;;2.331722;48.894398
2023-1321036;2023-01-03;1;Vente;730000.0;192.0;;RUE CHAMPIONNET;1723;75018.0;75118;Paris 18e Arrondissement;75;;;75118000AH0038;;;281;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.331722;48.894398
2023-1321037;2023-01-09;1;Vente;285000.0;75.0;;BD MALESHERBES;5951;75008.0;75108;Paris 8e Arrondissement;75;;;75108000CI0040;;;104;24.92;;;;;;;;;1;2.0;Appartement;19.0;1.0;;;;;;2.316495;48.876937
2023-1321038;2023-01-06;1;Vente;916000.0;40.0;T;QUAI DE JEMMAPES;4964;75010.0;75110;Paris 10e Arrondissement;75;;;75110000BI0034;;;367;71.21;;;;;;;;;1;2.0;Appartement;77.0;3.0;;;;;;2.367918;48.869554
2023-1321039;2023-01-09;1;Vente;240000.0;11.0;;RUE ORFILA;6924;75020.0;75120;Paris 20e Arrondissement;75;;;75120000CC0078;;;22;13.57;;;;;;;;;1;2.0;Appartement;16.0;1.0;;;;;;2.395193;48.865921
2023-1321039;2023-01-09;1;Vente;240000.0;11.0;;RUE ORFILA;6924;75020.0;75120;Paris 20e Arrondissement;75;;;75120000CC0078;;;21;14.98;;;;;;;;;1;4.0;Local industriel. commercial ou assimilé;14.0;0.0;;;;;;2.395193;48.865921
2023-1321040;2023-01-04;1;Vente;30000.0;24.0;;RUE TURGOT;9508;75009.0;75109;Paris 9e Arrondissement;75;;;75109000BD0042;;;28;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.345207;48.881303
2023-1321041;2023-01-06;1;Vente;95000.0;138.0;;BD HAUSSMANN;4485;75008.0;75108;Paris 8e Arrondissement;75;;;75108000CI0088;;;24;;;;;;;;;;1;4.0;Local industriel. commercial ou assimilé;18.0;0.0;;;;;;2.313591;48.875512
2023-1321042;2023-01-04;1;Vente;378000.0;11.0;;RUE POUCHET;7766;75017.0;75117;Paris 17e Arrondissement;75;;;75117000DG0107;;;9;33.79;;;;;;;;;1;2.0;Appartement;35.0;2.0;;;;;;2.318768;48.892352
2023-1321043;2023-01-04;1;Vente;250000.0;133.0;;RUE DE ROME;8339;75017.0;75117;Paris 17e Arrondissement;75;;;75117000CJ0108;;;114;;115;;17.0;;;;;;3;2.0;Appartement;23.0;1.0;;;;;;2.316759;48.885412
2023-1321044;2023-01-06;1;Vente;396000.0;46.0;;RUE D ORSEL;6955;75018.0;75118;Paris 18e Arrondissement;75;;;75118000BQ0029;;;57;35.14;58;;;;;;;;2;2.0;Appartement;26.0;2.0;;;;;;2.342325;48.883759
2023-1321044;2023-01-06;1;Vente;396000.0;46.0;;RUE D ORSEL;6955;75018.0;75118;Paris 18e Arrondissement;75;;;75118000BQ0029;;;57;35.14;58;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.342325;48.883759
2023-1321045;2023-01-04;1;Vente;175000.0;118.0;;RUE DES MOINES;6401;75017.0;75117;Paris 17e Arrondissement;75;;;75117000DM0053;;;22;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.323507;48.893177
2023-1321045;2023-01-04;1;Vente;175000.0;118.0;;RUE DES MOINES;6401;75017.0;75117;Paris 17e Arrondissement;75;;;75117000DM0053;;;22;;;;;;;;;;1;2.0;Appartement;21.0;1.0;;;;;;2.323507;48.893177
